fold,model,pr_auc,roc_auc,precision_at_k,brier,brier_raw
0,catboost,0.2635500406851212,0.8770626847126176,0.15700934579439252,0.17732638864436867,0.17732638864436867
0,lightgbm,0.2936041702102329,0.8633924994338866,0.18878504672897195,0.02276936164591931,0.02276936164591931
1,catboost,0.2984879322320017,0.8930259213542584,0.13333333333333333,0.059336996697950006,0.059336996697950006
1,lightgbm,0.347835737573294,0.8368612237700581,0.12407407407407407,0.016911408013290642,0.016911408013290642
2,catboost,0.23911655461597228,0.9238325725780921,0.09906542056074766,0.02418796669209711,0.02418796669209711
2,lightgbm,0.2044583717817786,0.8510104259208202,0.10093457943925234,0.016133404649711386,0.016133404649711386
3,catboost,0.2731597995552032,0.9049235687431054,0.166351606805293,0.03198443764433706,0.03198443764433706
3,lightgbm,0.361258924846841,0.8881439624184846,0.15879017013232513,0.02081903861596566,0.02081903861596566
4,catboost,0.34527244086423176,0.9477281746031746,0.14606741573033707,0.06685761951480651,0.06685761951480651
4,lightgbm,0.19560410223812263,0.8539722222222221,0.10299625468164794,0.016259734102691686,0.016259734102691686
