,fold,model,pr_auc,roc_auc,precision_at_k,brier
0,0,catboost,0.24354266771291577,0.8668835316181551,0.17196261682242991,0.13959887515921346
1,0,lightgbm,0.2936041702102329,0.8633924994338866,0.18878504672897195,0.02276936164591931
2,1,catboost,0.43305548511759845,0.9120983953447365,0.13148148148148148,0.037687207047161435
3,1,lightgbm,0.347835737573294,0.8368612237700581,0.12407407407407407,0.016911408013290642
4,2,catboost,0.30616065952884874,0.954101440839792,0.14205607476635515,0.019546274728878398
5,2,lightgbm,0.2593033633634404,0.8840894934084899,0.102803738317757,0.015859360360691622
6,3,catboost,0.28193616425595175,0.8993628852518066,0.16824196597353497,0.2332517943245552
7,3,lightgbm,0.3837958544258202,0.9088167976166355,0.17580340264650285,0.02111048608833878
8,4,catboost,0.28091849253459594,0.9486607142857143,0.15543071161048688,0.058518070564115704
9,4,lightgbm,0.19560410223812263,0.8539722222222221,0.10299625468164794,0.016259734102691686
